"","STATE","MEAN","MINIMUM","LOWER25","MEDIAN","UPPER25","MAXIMUM"
"1","Alabama",9,1.2,5.4,8,11.9,36.3
"2","Alaska",8.5,0.1,1,5.8,14.6,36.4
"3","Arizona",16.7,1.1,13.7,18.6,20.7,31.5
"4","Arkansas",8.9,1.5,5.7,8.2,11.3,29.6
"5","California",16.8,1,13.3,16.8,20.7,36.4
"6","Colorado",13.7,1.8,11.4,14.3,16.5,31.5
"7","Connecticut",12.4,3.4,8.3,11.7,15.5,32.7
"8","Delaware",11.5,2.9,7.5,11.4,14.6,23.9
"9","District of Columbia",19.7,9.4,17.1,18.9,22.1,31.2
"10","Florida",14,0.3,10.1,14.4,17.8,36.1
"11","Georgia",10.3,1.2,6.8,9.5,13.3,28.6
"12","Hawaii",8.9,0.1,4.6,8.5,12.4,23
"13","Idaho",12,1.1,6.6,12.7,16.8,26.5
"14","Illinois",19.3,3.4,13.1,18.3,26.3,46.5
"15","Indiana",14.9,4.6,10.8,14.1,18.4,33.6
"16","Iowa",12.4,3.3,8.2,11.8,16.1,27.1
"17","Kansas",12.4,2.6,8.5,12.6,16.1,26.7
"18","Kentucky",12.9,2.9,8.9,11.7,16.1,35.4
"19","Louisiana",11.4,1.1,7.1,10.5,15.2,32.3
"20","Maine",7.9,1.6,5.2,6.7,8.9,33.2
"21","Maryland",13.2,2.8,9.5,13.1,16.4,32.8
"22","Massachusetts",16,2.7,10.2,15.1,20.6,46.8
"23","Michigan",14.4,1.3,8.6,14.3,20,37.3
"24","Minnesota",15,1.7,9.6,15.6,19.7,41.1
"25","Mississippi",8.6,1,5.3,7.6,11.1,23.3
"26","Missouri",12,1.7,7.5,11.7,15.6,35.3
"27","Montana",9.9,1,3.7,7.7,15.6,37.2
"28","Nebraska",14.8,2.9,9.3,15.5,20,28.9
"29","Nevada",18.5,0.9,16.6,20,22.1,37.2
"30","New Hampshire",9.4,3.5,6.2,8.5,11.7,21.5
"31","New Jersey",15.7,3,10,13.9,20.3,39.6
"32","New Mexico",14,1.6,7,14.9,19.6,31.2
"33","New York",16.4,2.5,9.1,14.5,22,47.5
"34","North Carolina",9.1,0.9,6.2,8.4,11.4,29.1
"35","North Dakota",15.1,3.4,7.3,12.6,22.5,36.9
"36","Ohio",15.8,3.5,12.3,15.5,18.9,35.9
"37","Oklahoma",12.8,2.7,7.3,11.2,17.5,39.4
"38","Oregon",11.7,1,7,12.3,15.8,32.4
"39","Pennsylvania",12.4,3,8.9,11.9,15.1,48.6
"40","Rhode Island",14.6,2.8,8.5,14,20.4,30.5
"41","South Carolina",8.3,1.3,5.7,7.7,10.1,23.5
"42","South Dakota",15,1.8,6.8,11.5,20.6,46
"43","Tennessee",11.1,2.1,7.6,10.2,14,34.9
"44","Texas",17.4,0.7,11.4,17.8,22.7,50.2
"45","Utah",14.4,2.5,11.7,15.1,17.6,28.3
"46","Vermont",8.5,3.9,6.3,7.5,10.2,18.2
"47","Virginia",11.6,2,7.3,11.5,15.2,32.8
"48","Washington",11.3,0.8,7.9,11.4,14.4,32.5
"49","West Virginia",8.4,2.7,5.4,7.3,10.4,24.4
"50","Wisconsin",14.7,2.3,10.5,14.2,18.6,34
"51","Wyoming",11.9,2,5.4,12.2,17.8,25.9
