STATE.x,CENSUS_TRACTS
Alabama,1437
Alaska,177
Arizona,1765
Arkansas,823
California,9129
Colorado,1447
Connecticut,883
Delaware,262
District of Columbia,206
Florida,5160
Georgia,2796
Hawaii,461
Idaho,456
Illinois,3265
Indiana,1696
Iowa,896
Kansas,829
Kentucky,1306
Louisiana,1388
Maine,407
Maryland,1475
Massachusetts,1620
Michigan,3017
Minnesota,1505
Mississippi,878
Missouri,1654
Montana,319
Nebraska,553
Nevada,779
New Hampshire,350
New Jersey,2181
New Mexico,612
New York,5411
North Carolina,2672
North Dakota,228
Ohio,3168
Oklahoma,1205
Oregon,1001
Pennsylvania,3446
Rhode Island,250
South Carolina,1323
South Dakota,242
Tennessee,1701
Texas,6896
Utah,716
Vermont,193
Virginia,2198
Washington,1784
West Virginia,546
Wisconsin,1542
Wyoming,160
