"","STATE.x","Mean","Minimum","Lower25","Median","Upper25","Maximum"
"1","Alabama",8.9,1.3,5.4,8,11.7,31.6
"2","Alaska",8.1,0.1,1.1,5.9,14.1,31.6
"3","Arizona",15.8,1.1,13.3,17.6,19.4,28
"4","Arkansas",8.8,1.5,5.8,8.2,11.1,26.6
"5","California",15.9,1,13,16.1,19.4,31.6
"6","Colorado",13.2,1.8,11.2,13.9,15.8,28
"7","Connecticut",12,3.5,8.3,11.5,15,28.9
"8","Delaware",11.2,3,7.5,11.2,14.2,22.1
"9","District of Columbia",18.5,9.3,16.3,17.9,20.6,27.8
"10","Florida",13.4,0.3,10,13.9,17,31.4
"11","Georgia",10.1,1.2,6.8,9.5,12.9,25.8
"12","Hawaii",8.7,0.1,4.7,8.5,12.1,21.3
"13","Idaho",11.6,1.1,6.7,12.4,16.1,24.2
"14","Illinois",18,3.5,12.8,17.4,24,38.5
"15","Indiana",14.3,4.7,10.7,13.7,17.4,29.6
"16","Iowa",12,3.3,8.2,11.6,15.5,24.6
"17","Kansas",12.1,2.7,8.5,12.3,15.5,24.3
"18","Kentucky",12.4,3,8.9,11.5,15.4,30.9
"19","Louisiana",11.1,1.2,7.1,10.3,14.7,28.6
"20","Maine",7.9,1.7,5.3,6.7,8.9,29.3
"21","Maryland",12.8,2.9,9.4,12.8,15.7,29
"22","Massachusetts",15.1,2.8,10.1,14.6,19.3,38.6
"23","Michigan",13.8,1.3,8.6,13.8,18.8,32.3
"24","Minnesota",14.3,1.8,9.5,15,18.6,34.9
"25","Mississippi",8.5,1,5.4,7.6,10.9,21.6
"26","Missouri",11.6,1.8,7.6,11.5,15,30.8
"27","Montana",9.6,1,3.8,7.7,15,32.2
"28","Nebraska",14.2,3,9.3,14.9,18.9,26.1
"29","Nevada",17.5,1,15.9,18.8,20.6,32.1
"30","New Hampshire",9.2,3.6,6.2,8.4,11.5,20.1
"31","New Jersey",14.9,3,9.9,13.5,19.1,33.9
"32","New Mexico",13.3,1.7,7,14.4,18.5,27.8
"33","New York",15.3,2.6,9.1,14.1,20.6,39.1
"34","North Carolina",9,0.9,6.2,8.4,11.2,26.2
"35","North Dakota",14.2,3.5,7.4,12.4,20.9,31.9
"36","Ohio",15.1,3.6,12.1,15,17.9,31.3
"37","Oklahoma",12.3,2.8,7.4,11.1,16.7,33.7
"38","Oregon",11.3,1.1,7.1,12.1,15.2,28.7
"39","Pennsylvania",12.1,3.1,8.9,11.6,14.6,39.8
"40","Rhode Island",13.9,2.9,8.5,13.6,19.1,27.2
"41","South Carolina",8.2,1.3,5.8,7.7,10,21.7
"42","South Dakota",14,1.9,6.8,11.3,19.3,38.1
"43","Tennessee",10.8,2.2,7.6,10.1,13.6,30.5
"44","Texas",16.4,0.7,11.3,17,21.1,40.8
"45","Utah",13.8,2.6,11.5,14.6,16.8,25.6
"46","Vermont",8.5,4,6.4,7.6,10.1,17.3
"47","Virginia",11.3,2.1,7.3,11.4,14.7,29
"48","Washington",11,0.8,8,11.2,13.9,28.8
"49","West Virginia",8.3,2.8,5.5,7.3,10.3,22.4
"50","Wisconsin",14.1,2.3,10.4,13.8,17.7,29.9
"51","Wyoming",11.5,2.1,5.5,11.9,17,23.7
